T        MC_cycles-ac             N_spins      accepted flips               <E>/N             <|M|>/N
1                 900                   4                   9   -1.96923076923077   0.987179487179487
1                 900                   4                   9   -1.96938775510204   0.987244897959184
1                 900                   4                   9   -1.96954314720812   0.987309644670051
1                 900                   4                   9   -1.96969696969697   0.987373737373737
1                 900                   4                   9   -1.96984924623116   0.987437185929648
1                 900                   4                   9               -1.97              0.9875
1                 900                   4                   9   -1.97014925373134   0.987562189054726
1                 900                   4                   9   -1.97029702970297   0.987623762376238
1                 900                   4                   9   -1.97044334975369   0.987684729064039
1                 900                   4                   9   -1.97058823529412   0.987745098039216
1                 900                   4                   9   -1.97073170731707    0.98780487804878
1                 900                   4                   9   -1.97087378640777   0.987864077669903
1                 900                   4                   9   -1.97101449275362    0.98792270531401
1                 900                   4                   9   -1.97115384615385   0.987980769230769
1                 900                   4                   9   -1.97129186602871   0.988038277511962
1                 900                   4                   9   -1.97142857142857   0.988095238095238
1                 900                   4                   9   -1.97156398104265   0.988151658767773
1                 900                   4                   9   -1.97169811320755   0.988207547169811
1                 900                   4                   9   -1.97183098591549   0.988262910798122
1                 900                   4                   9   -1.97196261682243   0.988317757009346
1                 900                   4                   9   -1.97209302325581   0.988372093023256
1                 900                   4                   9   -1.97222222222222   0.988425925925926
1                 900                   4                   9   -1.97235023041475   0.988479262672811
1                 900                   4                   9   -1.97247706422018   0.988532110091743
1                 900                   4                   9   -1.97260273972603   0.988584474885845
1                 900                   4                   9   -1.97272727272727   0.988636363636364
1                 900                   4                   9   -1.97285067873303    0.98868778280543
1                 900                   4                   9   -1.97297297297297   0.988738738738739
1                 900                   4                   9   -1.97309417040359   0.988789237668161
1                 900                   4                   9   -1.97321428571429   0.988839285714286
1                 900                   4                   9   -1.97333333333333   0.988888888888889
1                 900                   4                   9   -1.97345132743363   0.988938053097345
1                 900                   4                   9   -1.97356828193833   0.988986784140969
1                 900                   4                   9   -1.97368421052632   0.989035087719298
1                 900                   4                   9   -1.97379912663755   0.989082969432314
1                 900                   4                   9   -1.97391304347826   0.989130434782609
1                 900                   4                   9   -1.97402597402597   0.989177489177489
1                 900                   4                   9   -1.97413793103448   0.989224137931034
1                 900                   4                   9   -1.97424892703863   0.989270386266094
1                 900                   4                   9   -1.97435897435897   0.989316239316239
1                 900                   4                   9   -1.97446808510638    0.98936170212766
1                 900                   4                   9   -1.97457627118644   0.989406779661017
1                 900                   4                   9    -1.9746835443038   0.989451476793249
1                 900                   4                   9   -1.97478991596639   0.989495798319328
1                 900                   4                   9   -1.97489539748954   0.989539748953975
1                 900                   4                   9              -1.975   0.989583333333333
1                 900                   4                   9   -1.97510373443983   0.989626556016598
1                 900                   4                   9   -1.97520661157025   0.989669421487603
1                 900                   4                   9   -1.97530864197531   0.989711934156379
1                 900                   4                   9   -1.97540983606557   0.989754098360656
1                 900                   4                   9   -1.97551020408163   0.989795918367347
1                 900                   4                   9   -1.97560975609756   0.989837398373984
1                 900                   4                   9   -1.97570850202429   0.989878542510121
1                 900                   4                   9    -1.9758064516129    0.98991935483871
1                 900                   4                   9   -1.97590361445783    0.98995983935743
1                 900                   4                   9              -1.976                0.99
1                 900                   4                   9   -1.97609561752988    0.99003984063745
1                 900                   4                   9   -1.97619047619048   0.990079365079365
1                 900                   4                   9   -1.97628458498024   0.990118577075099
1                 900                   4                   9   -1.97637795275591   0.990157480314961
1                 900                   4                   9   -1.97647058823529   0.990196078431373
1                 900                   4                   9          -1.9765625         0.990234375
1                 900                   4                   9   -1.97665369649805   0.990272373540856
1                 900                   4                   9   -1.97674418604651    0.99031007751938
1                 900                   4                   9   -1.97683397683398    0.99034749034749
1                 900                   4                   9   -1.97692307692308   0.990384615384615
1                 900                   4                   9   -1.97701149425287   0.990421455938697
1                 900                   4                   9   -1.97709923664122   0.990458015267176
1                 900                   4                   9   -1.97718631178707   0.990494296577947
1                 900                   4                   9   -1.97727272727273   0.990530303030303
1                 900                   4                   9   -1.97735849056604   0.990566037735849
1                 900                   4                   9   -1.97744360902256   0.990601503759398
1                 900                   4                   9   -1.97752808988764    0.99063670411985
1                 900                   4                   9   -1.97761194029851   0.990671641791045
1                 900                   4                   9   -1.97769516728625   0.990706319702602
1                 900                   4                   9   -1.97777777777778   0.990740740740741
1                 900                   4                   9   -1.97785977859779   0.990774907749078
1                 900                   4                   9   -1.97794117647059   0.990808823529412
1                 900                   4                   9   -1.97802197802198   0.990842490842491
1                 900                   4                   9   -1.97810218978102   0.990875912408759
1                 900                   4                   9   -1.97818181818182   0.990909090909091
1                 900                   4                   9   -1.97826086956522   0.990942028985507
1                 900                   4                   9   -1.97833935018051   0.990974729241877
1                 900                   4                   9   -1.97841726618705   0.991007194244604
1                 900                   4                   9   -1.97849462365591   0.991039426523297
1                 900                   4                   9   -1.97857142857143   0.991071428571429
1                 900                   4                   9   -1.97864768683274   0.991103202846975
1                 900                   4                   9   -1.97872340425532    0.99113475177305
1                 900                   4                   9   -1.97879858657244   0.991166077738516
1                 900                   4                   9   -1.97887323943662   0.991197183098592
1                 900                   4                   9   -1.97894736842105   0.991228070175439
1                 900                   4                   9   -1.97902097902098   0.991258741258741
1                 900                   4                   9   -1.97909407665505   0.991289198606272
1                 900                   4                   9   -1.97916666666667   0.991319444444444
1                 900                   4                   9   -1.97923875432526   0.991349480968858
1                 900                   4                   9   -1.97931034482759   0.991379310344828
1                 900                   4                   9   -1.97938144329897   0.991408934707904
1                 900                   4                   9   -1.97945205479452   0.991438356164384
1                 900                   4                   9   -1.97952218430034   0.991467576791809
1                 900                   4                   9   -1.97959183673469   0.991496598639456
1                 900                   4                   9   -1.97966101694915   0.991525423728814
1                 900                   4                   9   -1.97972972972973   0.991554054054054
1                 900                   4                   9   -1.97979797979798   0.991582491582492
1                 900                   4                   9   -1.97986577181208   0.991610738255034
1                 900                   4                   9   -1.97993311036789   0.991638795986622
1                 900                   4                   9               -1.98   0.991666666666667
1                 900                   4                   9   -1.98006644518272   0.991694352159468
1                 900                   4                   9   -1.98013245033113   0.991721854304636
1                 900                   4                   9   -1.98019801980198   0.991749174917492
1                 900                   4                   9   -1.98026315789474   0.991776315789474
1                 900                   4                   9   -1.98032786885246   0.991803278688525
1                 900                   4                   9   -1.98039215686275   0.991830065359477
1                 900                   4                   9   -1.98045602605863    0.99185667752443
1                 900                   4                   9   -1.98051948051948   0.991883116883117
1                 900                   4                   9   -1.98058252427184   0.991909385113269
1                 900                   4                   9   -1.98064516129032   0.991935483870968
1                 900                   4                   9   -1.98070739549839   0.991961414790997
1                 900                   4                   9   -1.98076923076923    0.99198717948718
1                 900                   4                   9   -1.98083067092652   0.992012779552716
1                 900                   4                   9   -1.98089171974522    0.99203821656051
