T             MC_cycles-ac                  N_spins                    <E>/N                    <M>/N                  <|M|>/N                       Cv                       Xi                     varE                     varM
2.225                    80000                    10000               -1.5093285            -0.7463564725             0.7463564725         1.61753527231461         8.24516214317619         8.00781055750251          18.345485768567
2.22758620689655                    80000                    10000             -1.505708295              -0.74310797               0.74310797         1.63448395986836         8.27163751855955         8.11053874193132         18.4257856447913
2.2301724137931                    80000                    10000             -1.500468055             -0.734523115              0.734523115         1.59667921463377         9.30799726002471         7.94135390517414         20.7584387169689
2.23275862068965                    80000                    10000             -1.495055015             -0.723435345              0.723435345         1.88926558643644         21.7085686415752         9.41838769350052         48.4699937773101
2.23534482758621                    80000                    10000              -1.49068074             -0.718401315              0.718401315          1.8110206297926         16.6187280299044         9.04924721052647         37.1485877427086
2.23793103448276                    80000                    10000               -1.4864053            -0.7120426825             0.7120426825         1.80061920612799         17.9288870563057         9.01810475910008         40.1236127570428
2.24051724137931                    80000                    10000              -1.48233206              -0.70800572               0.70800572         1.75425231707951         18.2078753420804         8.80620192156732         40.7950586328164
2.24310344827586                    80000                    10000             -1.479987515            -0.7118189425             0.7118189425         1.74100771727104         14.1865577984276         8.75990310125053         31.8219167168178
2.24568965517241                    80000                    10000              -1.46197833            -0.6334829275             0.6336071275         2.45067339578384          94.071366628386         12.3590449841142         211.255094885298
2.24827586206897                    80000                    10000              -1.46626569            -0.6742400875             0.6742400875         1.93627181252833          36.746058554797          9.7873590082407         82.6152764749229
2.25086206896552                    80000                    10000             -1.463316645            -0.6807420625             0.6807420625         1.95277909966291         22.1485513061108         9.89352107943892         49.8533340174615
2.25344827586207                    80000                    10000              -1.45438839             -0.651989965              0.651989965         2.05677982158296         34.6169597139499         10.4443878520787         78.0075281829871
2.25603448275862                    80000                    10000              -1.44318305              -0.43212232              0.593042395         2.39584603459541         844.645478644511         12.1941174069762         1905.54932552818
2.25862068965517                    80000                    10000              -1.44927181            -0.6599105575             0.6599105575         1.95415673740076         24.9279947019295         9.96887151323855         56.3028845853925
2.26120689655172                    80000                    10000              -1.44004872                 -0.63296                  0.63296         2.08744183333611         38.8995074285933         10.6732083036184         87.9598344700001
2.26379310344828                    80000                    10000              -1.42743507            -0.3467642825             0.5567848225         2.60235436258957         985.073006840068         13.3364395009488          2230.0014792776
2.26637931034483                    80000                    10000              -1.43330685            -0.6303078275             0.6303078275         2.05878217718873         34.2335789791069          10.574883550778         77.5862751173034
2.26896551724138                    80000                    10000             -1.422224405             -0.581899105              0.581899105         2.42023388141596         69.5931791083242         12.4598590039641         157.904523631991
2.27155172413793                    80000                    10000             -1.412764005            -0.5327383925             0.5405536025         2.36239267329947         144.350858840602         12.1898215436012          327.90044228016
2.27413793103448                    80000                    10000             -1.406851095            -0.0292499875             0.5155211575         2.57636672183926         1309.82574039496         13.3242043530136          2978.7243992775
2.27672413793103                    80000                    10000              -1.40798391              0.542872795              0.549763645         2.28162041683299         142.907106235782          11.826717371121         325.360058248879
2.27931034482759                    80000                    10000              -1.38833131             0.2963272225             0.4306175525         2.33474916319482         588.163531171427           12.12961877684         1340.60722104936
2.28189655172414                    80000                    10000             -1.381752415             0.1564700425             0.4063363975         2.50897684830053         787.490545641843         13.0643725966811         1796.97196061548
2.28448275862069                    80000                    10000              -1.38792458             0.4792644575             0.4805963675         2.16904908737029         118.683351154293         11.3199667182356         271.130069447307
2.28706896551724                    80000                    10000             -1.374901635            -0.0353142625             0.4295678925         2.42533707341417          940.48919122968         12.6861729232699         2150.96364166581
2.28965517241379                    80000                    10000              -1.37213926            -0.1357216825             0.4288732425         2.51084175479738         863.234034334971         13.1631401465297         1976.50827171869
2.29224137931034                    80000                    10000              -1.37018016               0.14113543               0.43777182         2.36061440412408         875.540305096914         12.4035427837431         2006.94971659715
2.2948275862069                    80000                    10000             -1.356802895               0.01909408               0.35210866         2.09448960839777         690.030890907536         11.0300716561913         1583.50192378954
2.29741379310345                    80000                    10000               -1.3563295            -0.2906720325             0.3914614425         2.12783862529124         420.238827701126         11.2309666175008          965.46247915819
2.3                    80000                    10000              -1.34675734               0.21093296               0.30241798         2.13131637074659         368.444558107124         11.2746636012495         847.422483646384
