T             MC_cycles-ac                  N_spins                    <E>/N                    <M>/N                  <|M|>/N                       Cv                       Xi                     varE                     varM
1.5                      100                        4                     -1.9                    0.955                    0.965        0.337777777777778        0.121266666666667        0.760000000000002                   0.1819
1.52777777777778                      100                        4                     -1.9                    0.965                    0.975        0.325606611570249       0.0818836363636365        0.760000000000002                   0.1251
1.55555555555556                      100                        4                    -1.94                    -0.41                     0.98        0.192416326530612         2.07488571428571                   0.4656                   3.2276
1.58333333333333                      100                        4                    -1.88                    0.815                    0.955        0.359960110803325        0.715642105263158        0.902400000000002                   1.1331
1.61111111111111                      100                        4                    -1.86                      0.1                     0.94        0.401282282996432         2.29655172413793                   1.0416                      3.7
1.63888888888889                      100                        4                    -1.92                    -0.52                     0.98        0.228745303073829         1.70749830508475                   0.6144                   2.7984
1.66666666666667                      100                        4                    -1.94                    0.305                    0.985                 0.167616                  2.12274                   0.4656                   3.5379
1.69444444444444                      100                        4                    -1.96                    0.985                    0.985          0.1092248320344        0.028977049180328        0.313600000000001       0.0491000000000001
1.72222222222222                      100                        4                    -1.96                     0.98                     0.99        0.105729864724246       0.0571354838709679        0.313600000000001       0.0984000000000003
1.75                      100                        4                     -1.8                     0.05                     0.94        0.470204081632653         2.09714285714286                     1.44                     3.67
