T             MC_cycles-ac                  N_spins                    <E>/N                    <M>/N                  <|M|>/N                       Cv                       Xi                     varE                     varM
2.35                   980000                     1600        -1.27842874744898       0.0408766033163265        0.367533980867347         1.62355911297563         119.240634278753         8.96610520140792         280.215490555071
2.35263157894737                   980000                     1600        -1.27289967602041      0.00713800637755102        0.354370391581633         1.57293926728642         113.233701745816          8.7060227716685         266.397182528314
2.35526315789474                   980000                     1600        -1.26882647704082     0.000481825255102041        0.351005894132653         1.54455564874525         110.583009013193         8.56805878487648         260.452087017914
2.35789473684211                   980000                     1600        -1.26583375765306      0.00818961224489796        0.345324204081633         1.53444245974085         107.558600942877         8.53099001218361          253.61185906531
2.36052631578947                   980000                     1600        -1.26015086989796       0.0149359477040816        0.333910728316327          1.4846707466204         101.206371981206         8.27271083633998         238.900304387216
2.36315789473684                   980000                     1600        -1.25604368367347       0.0033494387755102        0.327116556122449         1.46502538950159         97.7787182759787         8.18145660800306         231.066550031129
2.36578947368421                   980000                     1600        -1.25300898979592       0.0193245408163265        0.323131885204082         1.45376325903266         95.3461929665778         8.13665456865274         225.569019676193
2.36842105263158                   980000                     1600        -1.24854913520408       0.0244580841836735         0.31314193877551         1.43311743469402         90.1209130591014         8.03895513921161         213.444267771556
2.37105263157895                   980000                     1600        -1.24439260204082       0.0267399744897959        0.306045477040816         1.40802546058786         86.5053750338758         7.91576507569727         205.108797119795
2.37368421052632                   980000                     1600        -1.24240587244898      0.00364846301020408        0.306827383928571         1.39083659981258         86.8429910369049          7.8364973750271         206.137836619179
2.37631578947368                   980000                     1600        -1.23797189795918      0.00903988392857143        0.295700371173469         1.35815216224749         81.8592329956955         7.66931784256274         194.523387881876
2.37894736842105                   980000                     1600        -1.23437211734694       0.0073154681122449        0.291301636479592         1.33738013997261         79.3421288516975         7.56875656833698          188.75074863667
2.38157894736842                   980000                     1600        -1.23148850510204     -0.00400872576530612        0.290353054846939         1.31587737909794         78.7019823829105         7.46354896409757           187.4349843593
2.38421052631579                   980000                     1600        -1.22784033928571      -0.0045454681122449        0.283803996173469         1.31204901859667         75.9492119287073         7.45828994618292         181.078910545813
2.38684210526316                   980000                     1600        -1.22383434693878      0.00164364795918367        0.274790681122449         1.29320175605167         71.6589346618127         7.36739010674617         171.038562469116
2.38947368421053                   980000                     1600        -1.22076169387755      0.00663774362244898        0.274201174744898         1.27964902203413         70.8327248677466          7.3062642056949         169.252932052405
2.39210526315789                   980000                     1600        -1.21713487755102       0.0034402806122449        0.267590977040816         1.25932272041412         67.9652732421736         7.20605565613922         162.580087834568
2.39473684210526                   980000                     1600        -1.21341013010204     -0.00454838392857143        0.258390506377551         1.23609562912861         64.0333044586968         7.08871738560527         153.342913308985
2.39736842105263                   980000                     1600        -1.21095842857143      0.00272370535714286        0.260882988520408         1.23128154963217         64.7681729900774         7.07663722266123         155.273172615686
2.4                   980000                     1600        -1.20826548469388     -0.00368209948979592        0.259274591836735         1.21687958900783         63.8263800449696          7.0092264326851         153.183312107927
