T             MC_cycles-ac                  N_spins                    <E>/N                    <M>/N                  <|M|>/N                       Cv                       Xi                     varE                     varM
1                      100                        4                       -2                        1                        1                        0                        0                        0                        0
1.02777777777778                      100                        4                       -2                        1                        1                        0                        0                        0                        0
1.05555555555556                      100                        4                       -2                        1                        1                        0                        0                        0                        0
1.08333333333333                      100                        4                       -2                        1                        1                        0                        0                        0                        0
1.11111111111111                      100                        4                       -2                        1                        1                        0                        0                        0                        0
1.13888888888889                      100                        4                       -2                        1                        1                        0                        0                        0                        0
1.16666666666667                      100                        4                       -2                        1                        1                        0                        0                        0                        0
1.19444444444444                      100                        4                       -2                        1                        1                        0                        0                        0                        0
1.22222222222222                      100                        4                    -1.94                    0.615                    0.985        0.311682644628099         1.96126363636364                   0.4656                   2.3971
1.25                      100                        4                    -1.98                    -0.11                     0.99                 0.101376                  3.12928                   0.1584                   3.9116
