T           MC_cycles             N_spins      accepted flips               <E>/N             <|M|>/N
2.5                 100                   4                   3                   0                   0
2.5                 100                   4                   6                   0                0.25
2.5                 100                   4                   9                   0   0.166666666666667
2.5                 100                   4                  13                   0               0.125
2.5                 100                   4                  14                   0                 0.2
2.5                 100                   4                  18                   0                0.25
2.5                 100                   4                  21                   0   0.214285714285714
2.5                 100                   4                  25                   0              0.1875
2.5                 100                   4                  27  -0.222222222222222   0.277777777777778
2.5                 100                   4                  29                -0.4                0.35
2.5                 100                   4                  29  -0.545454545454545   0.409090909090909
2.5                 100                   4                  29  -0.666666666666667   0.458333333333333
2.5                 100                   4                  29  -0.769230769230769                 0.5
2.5                 100                   4                  29  -0.857142857142857   0.535714285714286
2.5                 100                   4                  29  -0.933333333333333   0.566666666666667
2.5                 100                   4                  32              -0.875              0.5625
2.5                 100                   4                  36  -0.823529411764706   0.558823529411765
2.5                 100                   4                  40  -0.777777777777778   0.555555555555556
2.5                 100                   4                  43  -0.736842105263158   0.526315789473684
2.5                 100                   4                  45                -0.8                0.55
2.5                 100                   4                  45  -0.857142857142857   0.571428571428571
2.5                 100                   4                  45  -0.909090909090909   0.590909090909091
2.5                 100                   4                  45  -0.956521739130435   0.608695652173913
2.5                 100                   4                  45                  -1               0.625
2.5                 100                   4                  49               -1.04                0.64
2.5                 100                   4                  49   -1.07692307692308   0.653846153846154
2.5                 100                   4                  49   -1.11111111111111   0.666666666666667
2.5                 100                   4                  52   -1.07142857142857   0.660714285714286
2.5                 100                   4                  53   -1.10344827586207   0.672413793103448
2.5                 100                   4                  55   -1.13333333333333   0.683333333333333
2.5                 100                   4                  55   -1.16129032258065   0.693548387096774
2.5                 100                   4                  55             -1.1875            0.703125
2.5                 100                   4                  55   -1.21212121212121   0.712121212121212
2.5                 100                   4                  55   -1.23529411764706   0.720588235294118
2.5                 100                   4                  55   -1.25714285714286   0.728571428571429
2.5                 100                   4                  55   -1.27777777777778   0.736111111111111
2.5                 100                   4                  55    -1.2972972972973   0.743243243243243
2.5                 100                   4                  55   -1.31578947368421                0.75
2.5                 100                   4                  55   -1.33333333333333   0.756410256410256
2.5                 100                   4                  55               -1.35              0.7625
2.5                 100                   4                  55   -1.36585365853659   0.768292682926829
2.5                 100                   4                  55   -1.38095238095238   0.773809523809524
2.5                 100                   4                  55    -1.3953488372093   0.779069767441861
2.5                 100                   4                  55   -1.40909090909091   0.784090909090909
2.5                 100                   4                  55   -1.42222222222222   0.788888888888889
2.5                 100                   4                  55   -1.43478260869565   0.793478260869565
2.5                 100                   4                  58   -1.40425531914894   0.787234042553192
2.5                 100                   4                  62              -1.375             0.78125
2.5                 100                   4                  63   -1.38775510204082   0.785714285714286
2.5                 100                   4                  63                -1.4                0.79
2.5                 100                   4                  63   -1.41176470588235   0.794117647058823
2.5                 100                   4                  63   -1.42307692307692   0.798076923076923
2.5                 100                   4                  63   -1.43396226415094    0.80188679245283
2.5                 100                   4                  63   -1.44444444444444   0.805555555555556
2.5                 100                   4                  63   -1.45454545454545   0.809090909090909
2.5                 100                   4                  64   -1.42857142857143   0.803571428571429
2.5                 100                   4                  68   -1.40350877192982   0.798245614035088
2.5                 100                   4                  70   -1.37931034482759   0.793103448275862
2.5                 100                   4                  71   -1.38983050847458   0.796610169491525
2.5                 100                   4                  71                -1.4                 0.8
2.5                 100                   4                  71   -1.40983606557377    0.80327868852459
2.5                 100                   4                  71   -1.41935483870968   0.806451612903226
2.5                 100                   4                  72    -1.3968253968254   0.801587301587302
2.5                 100                   4                  73            -1.40625           0.8046875
2.5                 100                   4                  73   -1.41538461538462   0.807692307692308
2.5                 100                   4                  73   -1.42424242424242   0.810606060606061
2.5                 100                   4                  73   -1.43283582089552   0.813432835820896
2.5                 100                   4                  73   -1.44117647058824   0.816176470588235
2.5                 100                   4                  73   -1.44927536231884   0.818840579710145
2.5                 100                   4                  73   -1.45714285714286   0.821428571428571
2.5                 100                   4                  74   -1.43661971830986   0.816901408450704
2.5                 100                   4                  77   -1.41666666666667   0.805555555555556
2.5                 100                   4                  80    -1.3972602739726   0.801369863013699
2.5                 100                   4                  81   -1.40540540540541   0.804054054054054
2.5                 100                   4                  81   -1.41333333333333   0.806666666666667
2.5                 100                   4                  81   -1.42105263157895   0.809210526315789
2.5                 100                   4                  83    -1.4025974025974   0.798701298701299
2.5                 100                   4                  87   -1.41025641025641   0.801282051282051
