T           MC_cycles             N_spins      accepted flips               <E>/N             <|M|>/N
1                1000                   4                   4                   0                   0
1                1000                   4                   8                   0                   0
1                1000                   4                  12                   0                   0
1                1000                   4                  15                   0               0.125
1                1000                   4                  19                   0                 0.2
1                1000                   4                  20  -0.333333333333333   0.333333333333333
1                1000                   4                  20  -0.571428571428571   0.428571428571429
1                1000                   4                  20               -0.75                 0.5
1                1000                   4                  20  -0.888888888888889   0.555555555555556
1                1000                   4                  20                  -1                 0.6
1                1000                   4                  20   -1.09090909090909   0.636363636363636
1                1000                   4                  20   -1.16666666666667   0.666666666666667
1                1000                   4                  20   -1.23076923076923   0.692307692307692
1                1000                   4                  20   -1.28571428571429   0.714285714285714
1                1000                   4                  20   -1.33333333333333   0.733333333333333
1                1000                   4                  20              -1.375                0.75
1                1000                   4                  20   -1.41176470588235   0.764705882352941
1                1000                   4                  20   -1.44444444444444   0.777777777777778
1                1000                   4                  20   -1.47368421052632   0.789473684210526
1                1000                   4                  20                -1.5                 0.8
1                1000                   4                  20   -1.52380952380952    0.80952380952381
1                1000                   4                  20   -1.54545454545455   0.818181818181818
1                1000                   4                  20   -1.56521739130435   0.826086956521739
1                1000                   4                  20   -1.58333333333333   0.833333333333333
1                1000                   4                  20                -1.6                0.84
1                1000                   4                  20   -1.61538461538462   0.846153846153846
1                1000                   4                  20   -1.62962962962963   0.851851851851852
1                1000                   4                  20   -1.64285714285714   0.857142857142857
1                1000                   4                  20    -1.6551724137931   0.862068965517241
1                1000                   4                  20   -1.66666666666667   0.866666666666667
1                1000                   4                  20   -1.67741935483871   0.870967741935484
1                1000                   4                  20             -1.6875               0.875
1                1000                   4                  20    -1.6969696969697   0.878787878787879
1                1000                   4                  20   -1.70588235294118   0.882352941176471
1                1000                   4                  20   -1.71428571428571   0.885714285714286
1                1000                   4                  20   -1.72222222222222   0.888888888888889
1                1000                   4                  20   -1.72972972972973   0.891891891891892
1                1000                   4                  20   -1.73684210526316   0.894736842105263
1                1000                   4                  20   -1.74358974358974   0.897435897435897
1                1000                   4                  20               -1.75                 0.9
1                1000                   4                  20   -1.75609756097561   0.902439024390244
1                1000                   4                  20   -1.76190476190476   0.904761904761905
1                1000                   4                  20   -1.76744186046512   0.906976744186046
1                1000                   4                  20   -1.77272727272727   0.909090909090909
1                1000                   4                  20   -1.77777777777778   0.911111111111111
1                1000                   4                  20   -1.78260869565217    0.91304347826087
1                1000                   4                  20   -1.78723404255319   0.914893617021277
1                1000                   4                  20   -1.79166666666667   0.916666666666667
1                1000                   4                  20   -1.79591836734694   0.918367346938776
1                1000                   4                  20                -1.8                0.92
1                1000                   4                  20   -1.80392156862745    0.92156862745098
1                1000                   4                  20   -1.80769230769231   0.923076923076923
1                1000                   4                  20   -1.81132075471698   0.924528301886792
1                1000                   4                  20   -1.81481481481481   0.925925925925926
1                1000                   4                  20   -1.81818181818182   0.927272727272727
1                1000                   4                  20   -1.82142857142857   0.928571428571429
1                1000                   4                  20   -1.82456140350877   0.929824561403509
1                1000                   4                  20   -1.82758620689655   0.931034482758621
1                1000                   4                  20   -1.83050847457627   0.932203389830508
1                1000                   4                  20   -1.83333333333333   0.933333333333333
1                1000                   4                  20   -1.83606557377049   0.934426229508197
1                1000                   4                  20   -1.83870967741935   0.935483870967742
1                1000                   4                  20   -1.84126984126984   0.936507936507937
1                1000                   4                  20            -1.84375              0.9375
1                1000                   4                  20   -1.84615384615385   0.938461538461538
1                1000                   4                  20   -1.84848484848485   0.939393939393939
1                1000                   4                  20   -1.85074626865672   0.940298507462687
1                1000                   4                  20   -1.85294117647059   0.941176470588235
1                1000                   4                  20   -1.85507246376812   0.942028985507246
1                1000                   4                  20   -1.85714285714286   0.942857142857143
1                1000                   4                  20   -1.85915492957746   0.943661971830986
1                1000                   4                  20   -1.86111111111111   0.944444444444444
1                1000                   4                  20   -1.86301369863014   0.945205479452055
1                1000                   4                  20   -1.86486486486486   0.945945945945946
1                1000                   4                  20   -1.86666666666667   0.946666666666667
1                1000                   4                  20   -1.86842105263158   0.947368421052632
1                1000                   4                  20   -1.87012987012987   0.948051948051948
1                1000                   4                  20   -1.87179487179487   0.948717948717949
1                1000                   4                  20   -1.87341772151899   0.949367088607595
1                1000                   4                  20              -1.875                0.95
1                1000                   4                  20   -1.87654320987654   0.950617283950617
1                1000                   4                  20    -1.8780487804878   0.951219512195122
1                1000                   4                  20   -1.87951807228916   0.951807228915663
1                1000                   4                  20   -1.88095238095238   0.952380952380952
1                1000                   4                  20   -1.88235294117647   0.952941176470588
1                1000                   4                  20   -1.88372093023256   0.953488372093023
1                1000                   4                  20   -1.88505747126437   0.954022988505747
1                1000                   4                  20   -1.88636363636364   0.954545454545455
1                1000                   4                  20    -1.8876404494382   0.955056179775281
1                1000                   4                  20   -1.88888888888889   0.955555555555556
1                1000                   4                  20   -1.89010989010989   0.956043956043956
1                1000                   4                  20   -1.89130434782609   0.956521739130435
