T           MC_cycles             N_spins      accepted flips               <E>/N             <|M|>/N                varE                varM
1                 100                   4                   2                  -2                   1                   0                   0
1                 100                   4                   2                  -2                   1                   0                   0
1                 100                   4                   2                  -2                   1                   0                   0
1                 100                   4                   2                  -2                   1                   0                   0
1                 100                   4                   2                  -2                   1                   0                   0
1                 100                   4                   2                  -2                   1                   0                   0
1                 100                   4                   2                  -2                   1                   0                   0
1                 100                   4                   2                  -2                   1                   0                   0
1                 100                   4                   2                  -2                   1                   0                   0
1                 100                   4                   2                  -2                   1                   0                   0
1                 100                   4                   2                  -2                   1                   0                   0
1                 100                   4                   2                  -2                   1                   0                   0
1                 100                   4                   2                  -2                   1                   0                   0
1                 100                   4                   2                  -2                   1                   0                   0
1                 100                   4                   2                  -2                   1                   0                   0
1                 100                   4                   2                  -2                   1                   0                   0
1                 100                   4                   2                  -2                   1                   0                   0
1                 100                   4                   2                  -2                   1                   0                   0
1                 100                   4                   2                  -2                   1                   0                   0
1                 100                   4                   2                  -2                   1                   0                   0
1                 100                   4                   2                  -2                   1                   0                   0
1                 100                   4                   2                  -2                   1                   0                   0
1                 100                   4                   2                  -2                   1                   0                   0
1                 100                   4                   2                  -2                   1                   0                   0
1                 100                   4                   2                  -2                   1                   0                   0
1                 100                   4                   2                  -2                   1                   0                   0
1                 100                   4                   2                  -2                   1                   0                   0
1                 100                   4                   2                  -2                   1                   0                   0
1                 100                   4                   2                  -2                   1                   0                   0
1                 100                   4                   2                  -2                   1                   0                   0
1                 100                   4                   2                  -2                   1                   0                   0
1                 100                   4                   2                  -2                   1                   0                   0
1                 100                   4                   2                  -2                   1                   0                   0
1                 100                   4                   2                  -2                   1                   0                   0
1                 100                   4                   2                  -2                   1                   0                   0
1                 100                   4                   2                  -2                   1                   0                   0
1                 100                   4                   2                  -2                   1                   0                   0
1                 100                   4                   2                  -2                   1                   0                   0
1                 100                   4                   2                  -2                   1                   0                   0
1                 100                   4                   2                  -2                   1                   0                   0
1                 100                   4                   2                  -2                   1                   0                   0
1                 100                   4                   2                  -2                   1                   0                   0
1                 100                   4                   2                  -2                   1                   0                   0
1                 100                   4                   2                  -2                   1                   0                   0
1                 100                   4                   2                  -2                   1                   0                   0
1                 100                   4                   2                  -2                   1                   0                   0
1                 100                   4                   2                  -2                   1                   0                   0
1                 100                   4                   2                  -2                   1                   0                   0
1                 100                   4                   2                  -2                   1                   0                   0
1                 100                   4                   2                  -2                   1                   0                   0
1                 100                   4                   2                  -2                   1                   0                   0
1                 100                   4                   2                  -2                   1                   0                   0
1                 100                   4                   2                  -2                   1                   0                   0
1                 100                   4                   2                  -2                   1                   0                   0
1                 100                   4                   2                  -2                   1                   0                   0
1                 100                   4                   2                  -2                   1                   0                   0
1                 100                   4                   2                  -2                   1                   0                   0
1                 100                   4                   2                  -2                   1                   0                   0
1                 100                   4                   2                  -2                   1                   0                   0
1                 100                   4                   2                  -2                   1                   0                   0
1                 100                   4                   2                  -2                   1                   0                   0
1                 100                   4                   2                  -2                   1                   0                   0
1                 100                   4                   2                  -2                   1                   0                   0
1                 100                   4                   2                  -2                   1                   0                   0
1                 100                   4                   2                  -2                   1                   0                   0
1                 100                   4                   2                  -2                   1                   0                   0
1                 100                   4                   2                  -2                   1                   0                   0
1                 100                   4                   2                  -2                   1                   0                   0
1                 100                   4                   2                  -2                   1                   0                   0
1                 100                   4                   2                  -2                   1                   0                   0
1                 100                   4                   2                  -2                   1                   0                   0
1                 100                   4                   2                  -2                   1                   0                   0
1                 100                   4                   2                  -2                   1                   0                   0
1                 100                   4                   2                  -2                   1                   0                   0
1                 100                   4                   2                  -2                   1                   0                   0
1                 100                   4                   2                  -2                   1                   0                   0
1                 100                   4                   2                  -2                   1                   0                   0
1                 100                   4                   2                  -2                   1                   0                   0
1                 100                   4                   2                  -2                   1                   0                   0
1                 100                   4                   2                  -2                   1                   0                   0
1                 100                   4                   2                  -2                   1                   0                   0
1                 100                   4                   2                  -2                   1                   0                   0
1                 100                   4                   2                  -2                   1                   0                   0
1                 100                   4                   2                  -2                   1                   0                   0
1                 100                   4                   2                  -2                   1                   0                   0
1                 100                   4                   2                  -2                   1                   0                   0
1                 100                   4                   2                  -2                   1                   0                   0
1                 100                   4                   2                  -2                   1                   0                   0
1                 100                   4                   2                  -2                   1                   0                   0
1                 100                   4                   2                  -2                   1                   0                   0
1                 100                   4                   2                  -2                   1                   0                   0
1                 100                   4                   2                  -2                   1                   0                   0
1                 100                   4                   2                  -2                   1                   0                   0
1                 100                   4                   2                  -2                   1                   0                   0
1                 100                   4                   2                  -2                   1                   0                   0
1                 100                   4                   2                  -2                   1                   0                   0
1                 100                   4                   2                  -2                   1                   0                   0
1                 100                   4                   2                  -2                   1                   0                   0
1                 100                   4                   2                  -2                   1                   0                   0
1                 100                   4                   2                  -2                   1                   0                   0
