T             MC_cycles-ac                  N_spins                    <E>/N                    <M>/N                  <|M|>/N                       Cv                       Xi                     varE                     varM
1.5                      100                        4                    -1.94                    0.755                    0.985        0.206933333333333                   1.0866                   0.4656                   1.6299
1.52777777777778                      100                        4                    -1.92                     0.01                     0.97        0.263227239669421         2.52628363636364                   0.6144                   3.8596
1.55555555555556                      100                        4                    -1.96                    0.985                    0.985                   0.1296       0.0315642857142858        0.313600000000001       0.0491000000000001
1.58333333333333                      100                        4                    -1.88                    0.715                    0.955        0.359960110803325         1.10216842105263        0.902400000000002                   1.7451
1.61111111111111                      100                        4                    -1.96                    -0.78                     0.99        0.120816171224733        0.935006896551724        0.313600000000001                   1.5064
1.63888888888889                      100                        4                     -1.9                    0.455                    0.965         0.28295317437518         1.83166779661017        0.760000000000002                   3.0019
1.66666666666667                      100                        4                    -1.94                   -0.985                    0.985                 0.167616       0.0174600000000001                   0.4656       0.0291000000000001
1.69444444444444                      100                        4                    -1.94                   -0.985                    0.985        0.162165439398011       0.0171737704918034                   0.4656       0.0291000000000001
1.72222222222222                      100                        4                    -1.98                     0.07                     0.99       0.0534043704474507         2.28797419354839                   0.1584                   3.9404
1.75                      100                        4                    -1.88                   -0.315                    0.965        0.294661224489797         1.95034285714286        0.902400000000002                   3.4131
