Temp           MC_cycles             N_spins               <E>/N               <M>/N             <|M|>/N                  Cv                  Xi
2.5                 100                   4                -1.5               -0.24                0.83                0.48             1.17184
2.55555555555556                 100                   4                -1.6                 0.1                0.86   0.391984877126654    1.28347826086957
2.61111111111111                 100                   4               -1.72               0.295               0.905   0.282550294250792              1.2186
2.66666666666667                 100                   4               -1.36              -0.335               0.795              0.6246           0.9604125
2.72222222222222                 100                   4               -1.54              -0.025               0.855   0.468740691378592    1.20765306122449
2.77777777777778                 100                   4               -1.64               -0.49                0.88          0.30606336            0.878256
2.83333333333333                 100                   4               -1.62               -0.33                0.88   0.306734948096886              1.0392
2.88888888888889                 100                   4               -1.76               -0.27                0.92   0.202452071005917    1.14521538461538
2.94444444444444                 100                   4                -1.7               -0.32                0.91   0.235300818796725    1.05636226415094
3                 100                   4                -1.2                0.17                 0.7   0.426666666666667   0.828133333333333
