T             MC_cycles-ac                  N_spins                    <E>/N                    <M>/N                  <|M|>/N                       Cv                       Xi                     varE                     varM
2.15                    80000                    10000              -1.60978881              -0.83599056               0.83599056         1.13389483349655         1.74263814365795         5.24142886783779         3.74667200886458
2.15258620689655                    80000                    10000             -1.607644855             -0.835110795              0.835110795         1.12460071452817         1.65300872656384         5.21098066029251         3.55824378468096
2.1551724137931                    80000                    10000              -1.60384969            -0.8318224475             0.8318224475         1.18710579106407         2.02062354650891         5.51383114904165         4.35479212609679
2.15775862068966                    80000                    10000             -1.601046225            -0.8299266825             0.8299266825         1.13212584151903          1.8158528451108         5.27108991249204         3.91817213044167
2.16034482758621                    80000                    10000              -1.59839186            -0.8281895625             0.8281895625         1.18683419551255         2.07876813842062         5.53906173740327           4.490855995588
2.16293103448276                    80000                    10000              -1.59503054            -0.8260134225             0.8260134225         1.20825697442116         2.10830370948727         5.65255315308869         4.56011552336514
2.16551724137931                    80000                    10000             -1.590986875            -0.8220133075             0.8220133075         1.23188107226651         2.36023840699119         5.77686307734549         5.11113696410507
2.16810344827586                    80000                    10000             -1.588897665               -0.8207742                0.8207742         1.23979572669246         2.63202282074628         5.82787375547588         5.70649775360078
2.17068965517241                    80000                    10000              -1.58416665             -0.816068055              0.816068055         1.24102133879885         2.60335157617059         5.84756047777832          5.6510683351703
2.17327586206897                    80000                    10000              -1.58265647             -0.816030355              0.816030355         1.22804799382436         2.58653392965483          5.8002278313905         5.62125175574124
2.17586206896552                    80000                    10000              -1.57883769              -0.81343623               0.81343623          1.2544920041923         2.65588141651794         5.93923651463985         5.77883163387179
2.17844827586207                    80000                    10000              -1.57536318            -0.8103814075             0.8103814075         1.27430900051585         2.81378251028877         6.04740780287981         6.12967965818942
2.18103448275862                    80000                    10000             -1.572790215            -0.8077635875             0.8077635875         1.28965448530671         3.26894299593153         6.13477214253843         7.12967739629895
2.18362068965517                    80000                    10000             -1.570275685            -0.8076677725             0.8076677725         1.27114681995432         2.84265925089027         6.06108139781058         6.20728955388367
2.18620689655172                    80000                    10000               -1.5649105            -0.8001607275             0.8001607275          1.3473813529544         4.19094040740547         6.43980997750461         9.16226282170713
2.18879310344828                    80000                    10000              -1.56211293              -0.79986847               0.79986847         1.34022155593375          3.1382174166073         6.42075386814773         6.86890863859132
2.19137931034483                    80000                    10000             -1.557712105            -0.7940440375             0.7940440375         1.38213025209711         5.14964793119735         6.63718750469089         11.2848319319859
2.19396551724138                    80000                    10000              -1.55410358             -0.791367375              0.791367375         1.37503555468357         3.89019152717849         6.61871259183586         8.53494606609419
2.19655172413793                    80000                    10000             -1.550893075            -0.7887289875             0.7887289875          1.3960377299221         4.20028460785231         6.73565795044899           9.226142397248
2.19913793103448                    80000                    10000             -1.547494925              -0.78580546               0.78580546         1.41258714293962         4.55968643456866         6.83156473244727         10.0273793918833
2.20172413793103                    80000                    10000              -1.54387303             -0.781412545              0.781412545         1.38275666066651         5.29542379327613          6.7030362261951         11.6590623862304
2.20431034482759                    80000                    10000             -1.541813215              -0.78208879               0.78208879         1.41928403076522          4.2211001936244          6.8962785336405            9.30461482336
2.20689655172414                    80000                    10000              -1.53750779             -0.777708615              0.777708615         1.39098947079757         4.56281403854265         6.77466453315914         10.0696585678183
2.20948275862069                    80000                    10000             -1.531649995            -0.7677108575             0.7677108575         1.47031329252559         6.72979439333972         7.17779610500038         14.8693646811463
2.21206896551724                    80000                    10000             -1.529011955              -0.76862741               0.76862741         1.44781468797557          5.4340417113121         7.08451793078184         12.0204750269197
2.21465517241379                    80000                    10000               -1.5246231              -0.76164367               0.76164367          1.5879881056838         8.80320325356177         7.78860134390295         19.4960596193105
2.21724137931034                    80000                    10000              -1.52213257              -0.76204635               0.76204635         1.54470131170078         6.61361260601076         7.59399777195454         14.6639755367756
2.2198275862069                    80000                    10000              -1.51825922              -0.75812857               0.75812857         1.55681492823465         7.61081255703259         7.67141496992111         16.8946916675508
2.22241379310345                    80000                    10000              -1.51294023              -0.74899744               0.74899744         1.59933313810497         8.46524002993712         7.89930319547355         18.8132662044637
2.225                    80000                    10000              -1.50823156            -0.7444821625             0.7444821625         1.63860379642315         9.12594271830863         8.11211291966736         20.3052225482367
