T             MC_cycles-ac                  N_spins                    <E>/N                    <M>/N                  <|M|>/N                       Cv                       Xi                     varE                     varM
1.25                      100                        4                       -2                    -0.26                        1                        0                  2.98368                        0                   3.7296
1.27777777777778                      100                        4                       -2                        1                        1                        0                        0                        0                        0
1.30555555555556                      100                        4                    -1.98                    0.995                    0.995       0.0929318243549119      0.00758297872340427                   0.1584      0.00990000000000002
1.33333333333333                      100                        4                       -2                        1                        1                        0                        0                        0                        0
1.36111111111111                      100                        4                    -1.96                      0.5                     0.98        0.169273469387756         2.14530612244898        0.313600000000001                     2.92
1.38888888888889                      100                        4                    -1.96                     -0.1                     0.99        0.162570240000001                    2.808        0.313600000000001                      3.9
1.41666666666667                      100                        4                    -1.96                     0.97                     0.99        0.156257439446367        0.124517647058824        0.313600000000001                   0.1764
1.44444444444444                      100                        4                    -1.98                    0.995                    0.995       0.0759195266272191      0.00685384615384617                   0.1584      0.00990000000000002
1.47222222222222                      100                        4                       -2                        1                        1                        0                        0                        0                        0
1.5                      100                        4                     -1.8                    -0.47                     0.92                     0.64                   1.8376                     1.44                   2.7564
