T             MC_cycles-ac                  N_spins                    <E>/N                    <M>/N                  <|M|>/N                       Cv                       Xi                     varE                     varM
1.75                      100                        4                    -1.78                   -0.185                    0.915        0.511477551020408         1.98462857142857                   1.5664                   3.4731
1.77777777777778                      100                        4                    -1.88                     0.22                     0.95        0.285525000000001                  2.01735        0.902400000000002                   3.5864
1.80555555555556                      100                        4                    -1.62                    -0.05                     0.88        0.755330272189349         1.86646153846154                   2.4624                     3.37
1.83333333333333                      100                        4                    -1.94                     0.79                     0.98        0.138525619834711                   0.7656                   0.4656                   1.4036
1.86111111111111                      100                        4                     -1.6                    -0.12                     0.88        0.739086656270884         1.77442388059701                     2.56                   3.3024
1.88888888888889                      100                        4                    -1.94                   -0.975                    0.975        0.130496885813149       0.0463235294117649                   0.4656       0.0875000000000004
1.91666666666667                      100                        4                    -1.88                    -0.58                     0.96        0.245643856332704         1.28055652173913        0.902400000000002                   2.4544
1.94444444444444                      100                        4                    -1.74                   -0.255                    0.915        0.478620734693878         1.70223428571429                   1.8096                   3.3099
1.97222222222222                      100                        4                    -1.84                     0.01                     0.95         0.30275135885737         1.89613521126761                   1.1776                   3.7396
2                      100                        4                     -1.9                   -0.955                    0.955                     0.19       0.0809500000000001        0.760000000000002                   0.1619
