T        MC_cycles-ac             N_spins      accepted flips               <E>/N             <|M|>/N
1                 100                   4                   1                  -2                   1
1                 100                   4                   1                  -2                   1
1                 100                   4                   1                  -2                   1
1                 100                   4                   1                  -2                   1
1                 100                   4                   1                  -2                   1
1                 100                   4                   1                  -2                   1
1                 100                   4                   1                  -2                   1
1                 100                   4                   1                  -2                   1
1                 100                   4                   1                  -2                   1
1                 100                   4                   1                  -2                   1
1                 100                   4                   1                  -2                   1
1                 100                   4                   1                  -2                   1
1                 100                   4                   1                  -2                   1
1                 100                   4                   1                  -2                   1
1                 100                   4                   1                  -2                   1
1                 100                   4                   1                  -2                   1
1                 100                   4                   1                  -2                   1
1                 100                   4                   1                  -2                   1
1                 100                   4                   1                  -2                   1
1                 100                   4                   1                  -2                   1
1                 100                   4                   1                  -2                   1
1                 100                   4                   1                  -2                   1
1                 100                   4                   1                  -2                   1
1                 100                   4                   1                  -2                   1
1                 100                   4                   1                  -2                   1
1                 100                   4                   1                  -2                   1
1                 100                   4                   1                  -2                   1
1                 100                   4                   1                  -2                   1
1                 100                   4                   1                  -2                   1
1                 100                   4                   1                  -2                   1
1                 100                   4                   1                  -2                   1
1                 100                   4                   1                  -2                   1
1                 100                   4                   1                  -2                   1
1                 100                   4                   1                  -2                   1
1                 100                   4                   1                  -2                   1
1                 100                   4                   1                  -2                   1
1                 100                   4                   1                  -2                   1
1                 100                   4                   1                  -2                   1
1                 100                   4                   1                  -2                   1
1                 100                   4                   1                  -2                   1
1                 100                   4                   1                  -2                   1
1                 100                   4                   1                  -2                   1
1                 100                   4                   1                  -2                   1
1                 100                   4                   1                  -2                   1
1                 100                   4                   1                  -2                   1
1                 100                   4                   1                  -2                   1
1                 100                   4                   1                  -2                   1
1                 100                   4                   1                  -2                   1
1                 100                   4                   1                  -2                   1
1                 100                   4                   1                  -2                   1
1                 100                   4                   1                  -2                   1
1                 100                   4                   1                  -2                   1
1                 100                   4                   1                  -2                   1
1                 100                   4                   1                  -2                   1
1                 100                   4                   1                  -2                   1
1                 100                   4                   1                  -2                   1
1                 100                   4                   1                  -2                   1
1                 100                   4                   1                  -2                   1
1                 100                   4                   1                  -2                   1
1                 100                   4                   1                  -2                   1
1                 100                   4                   1                  -2                   1
1                 100                   4                   1                  -2                   1
1                 100                   4                   1                  -2                   1
1                 100                   4                   1                  -2                   1
1                 100                   4                   1                  -2                   1
1                 100                   4                   1                  -2                   1
1                 100                   4                   1                  -2                   1
1                 100                   4                   1                  -2                   1
1                 100                   4                   1                  -2                   1
1                 100                   4                   1                  -2                   1
1                 100                   4                   1                  -2                   1
1                 100                   4                   1                  -2                   1
1                 100                   4                   1                  -2                   1
1                 100                   4                   1                  -2                   1
1                 100                   4                   1                  -2                   1
1                 100                   4                   1                  -2                   1
1                 100                   4                   1                  -2                   1
1                 100                   4                   1                  -2                   1
1                 100                   4                   1                  -2                   1
1                 100                   4                   1                  -2                   1
1                 100                   4                   1                  -2                   1
1                 100                   4                   1                  -2                   1
1                 100                   4                   1                  -2                   1
1                 100                   4                   1                  -2                   1
1                 100                   4                   1                  -2                   1
1                 100                   4                   1                  -2                   1
1                 100                   4                   1                  -2                   1
1                 100                   4                   1                  -2                   1
1                 100                   4                   1                  -2                   1
1                 100                   4                   1                  -2                   1
1                 100                   4                   1                  -2                   1
1                 100                   4                   1                  -2                   1
1                 100                   4                   1                  -2                   1
1                 100                   4                   1                  -2                   1
1                 100                   4                   1                  -2                   1
1                 100                   4                   1                  -2                   1
1                 100                   4                   1                  -2                   1
1                 100                   4                   1                  -2                   1
1                 100                   4                   1                  -2                   1
1                 100                   4                   1                  -2                   1
2.4                 100                   4                   0                  -2                   1
2.4                 100                   4                   0                  -2                   1
2.4                 100                   4                   0                  -2                   1
2.4                 100                   4                   0                  -2                   1
2.4                 100                   4                   0                  -2                   1
2.4                 100                   4                   0                  -2                   1
2.4                 100                   4                   0                  -2                   1
2.4                 100                   4                   0                  -2                   1
2.4                 100                   4                   0                  -2                   1
2.4                 100                   4                   0                  -2                   1
2.4                 100                   4                   0                  -2                   1
2.4                 100                   4                   0                  -2                   1
2.4                 100                   4                   0                  -2                   1
2.4                 100                   4                   0                  -2                   1
2.4                 100                   4                   4                   2                   0
2.4                 100                   4                   8                  -2                   1
2.4                 100                   4                   8                  -2                   1
2.4                 100                   4                   8                  -2                   1
2.4                 100                   4                   9                   0                 0.5
2.4                 100                   4                  12                  -2                  -1
2.4                 100                   4                  12                  -2                  -1
2.4                 100                   4                  12                  -2                  -1
2.4                 100                   4                  12                  -2                  -1
2.4                 100                   4                  12                  -2                  -1
2.4                 100                   4                  12                  -2                  -1
2.4                 100                   4                  12                  -2                  -1
2.4                 100                   4                  12                  -2                  -1
2.4                 100                   4                  12                  -2                  -1
2.4                 100                   4                  12                  -2                  -1
2.4                 100                   4                  12                  -2                  -1
2.4                 100                   4                  12                  -2                  -1
2.4                 100                   4                  12                  -2                  -1
2.4                 100                   4                  12                  -2                  -1
2.4                 100                   4                  12                  -2                  -1
2.4                 100                   4                  12                  -2                  -1
2.4                 100                   4                  12                  -2                  -1
2.4                 100                   4                  13                   0                -0.5
2.4                 100                   4                  14                  -2                  -1
2.4                 100                   4                  15                   0                -0.5
2.4                 100                   4                  17                   0                -0.5
2.4                 100                   4                  21                   0                 0.5
2.4                 100                   4                  24                  -2                   1
2.4                 100                   4                  24                  -2                   1
2.4                 100                   4                  24                  -2                   1
2.4                 100                   4                  24                  -2                   1
2.4                 100                   4                  24                  -2                   1
2.4                 100                   4                  24                  -2                   1
2.4                 100                   4                  26                  -2                   1
2.4                 100                   4                  26                  -2                   1
2.4                 100                   4                  26                  -2                   1
2.4                 100                   4                  26                  -2                   1
2.4                 100                   4                  26                  -2                   1
2.4                 100                   4                  26                  -2                   1
2.4                 100                   4                  26                  -2                   1
2.4                 100                   4                  26                  -2                   1
2.4                 100                   4                  29                   0                -0.5
2.4                 100                   4                  32                  -2                   1
2.4                 100                   4                  34                   0                   0
2.4                 100                   4                  38                   0                   0
2.4                 100                   4                  40                  -2                  -1
2.4                 100                   4                  40                  -2                  -1
2.4                 100                   4                  43                   0                 0.5
2.4                 100                   4                  47                   0                -0.5
2.4                 100                   4                  48                  -2                  -1
2.4                 100                   4                  48                  -2                  -1
2.4                 100                   4                  52                   0                   0
2.4                 100                   4                  56                  -2                  -1
2.4                 100                   4                  60                  -2                   1
2.4                 100                   4                  60                  -2                   1
2.4                 100                   4                  60                  -2                   1
2.4                 100                   4                  60                  -2                   1
2.4                 100                   4                  60                  -2                   1
2.4                 100                   4                  60                  -2                   1
2.4                 100                   4                  60                  -2                   1
2.4                 100                   4                  61                   0                 0.5
2.4                 100                   4                  62                  -2                   1
2.4                 100                   4                  62                  -2                   1
2.4                 100                   4                  62                  -2                   1
2.4                 100                   4                  62                  -2                   1
2.4                 100                   4                  62                  -2                   1
2.4                 100                   4                  62                  -2                   1
2.4                 100                   4                  63                   0                 0.5
2.4                 100                   4                  67                   0                -0.5
2.4                 100                   4                  68                  -2                  -1
2.4                 100                   4                  68                  -2                  -1
2.4                 100                   4                  68                  -2                  -1
2.4                 100                   4                  68                  -2                  -1
2.4                 100                   4                  68                  -2                  -1
2.4                 100                   4                  70                   0                   0
2.4                 100                   4                  74                   0                   0
2.4                 100                   4                  76                  -2                   1
2.4                 100                   4                  76                  -2                   1
2.4                 100                   4                  76                  -2                   1
2.4                 100                   4                  76                  -2                   1
2.4                 100                   4                  76                  -2                   1
2.4                 100                   4                  76                  -2                   1
2.4                 100                   4                  76                  -2                   1
2.4                 100                   4                  76                  -2                   1
2.4                 100                   4                  76                  -2                   1
2.4                 100                   4                  76                  -2                   1
