T        MC_cycles-ac             N_spins      accepted flips               <E>/N             <|M|>/N
1                1000                 400                 222               -0.68                   0
1                1000                 400                 340               -1.05                0.02
1                1000                 400                 420               -1.29               -0.08
1                1000                 400                 481                -1.4              -0.095
1                1000                 400                 539               -1.45              -0.125
1                1000                 400                 591               -1.49              -0.145
1                1000                 400                 661               -1.52              -0.175
1                1000                 400                 712               -1.55               -0.21
1                1000                 400                 756               -1.58               -0.25
1                1000                 400                 800               -1.64               -0.31
1                1000                 400                 834               -1.66               -0.36
1                1000                 400                 862               -1.67               -0.38
1                1000                 400                 896               -1.67               -0.34
1                1000                 400                 935               -1.66              -0.365
1                1000                 400                 974               -1.65               -0.37
1                1000                 400                1005                -1.7              -0.385
1                1000                 400                1032               -1.72               -0.43
1                1000                 400                1060               -1.74               -0.49
1                1000                 400                1078               -1.75               -0.49
1                1000                 400                1106               -1.74               -0.52
1                1000                 400                1132               -1.75               -0.54
1                1000                 400                1156               -1.76               -0.47
1                1000                 400                1190               -1.75               -0.51
1                1000                 400                1210               -1.75               -0.52
1                1000                 400                1229               -1.75              -0.525
1                1000                 400                1259               -1.76              -0.575
1                1000                 400                1281               -1.76              -0.595
1                1000                 400                1306               -1.77               -0.55
1                1000                 400                1330               -1.77               -0.56
1                1000                 400                1354               -1.77               -0.57
1                1000                 400                1375               -1.75              -0.585
1                1000                 400                1405               -1.74              -0.625
1                1000                 400                1442               -1.75               -0.58
1                1000                 400                1456               -1.78               -0.59
1                1000                 400                1480               -1.76               -0.54
1                1000                 400                1513               -1.76              -0.545
1                1000                 400                1542               -1.75               -0.57
1                1000                 400                1562               -1.77                -0.6
1                1000                 400                1579               -1.77              -0.615
1                1000                 400                1601               -1.79              -0.645
1                1000                 400                1615               -1.79              -0.675
1                1000                 400                1642               -1.79               -0.71
1                1000                 400                1664               -1.81                -0.7
1                1000                 400                1684               -1.83               -0.74
1                1000                 400                1698               -1.81               -0.73
1                1000                 400                1715               -1.84              -0.755
1                1000                 400                1727               -1.84              -0.775
1                1000                 400                1735               -1.85              -0.775
1                1000                 400                1753               -1.86              -0.835
1                1000                 400                1762               -1.87               -0.83
1                1000                 400                1774               -1.86               -0.88
1                1000                 400                1786               -1.89                -0.9
1                1000                 400                1798               -1.89                -0.9
1                1000                 400                1805                -1.9              -0.915
1                1000                 400                1814                -1.9               -0.91
1                1000                 400                1823               -1.89              -0.895
1                1000                 400                1828               -1.89                -0.9
1                1000                 400                1841                -1.9              -0.915
1                1000                 400                1850               -1.91               -0.94
1                1000                 400                1858               -1.92               -0.95
1                1000                 400                1864               -1.93               -0.97
1                1000                 400                1868               -1.92               -0.98
1                1000                 400                1872               -1.96               -0.99
1                1000                 400                1874                  -2                  -1
1                1000                 400                1874                  -2                  -1
1                1000                 400                1874                  -2                  -1
1                1000                 400                1874                  -2                  -1
1                1000                 400                1874                  -2                  -1
1                1000                 400                1874                  -2                  -1
1                1000                 400                1874                  -2                  -1
1                1000                 400                1874                  -2                  -1
1                1000                 400                1874                  -2                  -1
1                1000                 400                1874                  -2                  -1
1                1000                 400                1874                  -2                  -1
1                1000                 400                1875               -1.98              -0.995
1                1000                 400                1878                  -2                  -1
1                1000                 400                1878                  -2                  -1
1                1000                 400                1879               -1.98              -0.995
1                1000                 400                1880                  -2                  -1
1                1000                 400                1880                  -2                  -1
1                1000                 400                1881               -1.98              -0.995
1                1000                 400                1882                  -2                  -1
1                1000                 400                1882                  -2                  -1
1                1000                 400                1882                  -2                  -1
1                1000                 400                1882                  -2                  -1
1                1000                 400                1882                  -2                  -1
1                1000                 400                1883               -1.98              -0.995
1                1000                 400                1885               -1.98              -0.995
1                1000                 400                1886                  -2                  -1
1                1000                 400                1886                  -2                  -1
1                1000                 400                1886                  -2                  -1
1                1000                 400                1886                  -2                  -1
1                1000                 400                1886                  -2                  -1
1                1000                 400                1886                  -2                  -1
1                1000                 400                1886                  -2                  -1
1                1000                 400                1886                  -2                  -1
1                1000                 400                1886                  -2                  -1
1                1000                 400                1886                  -2                  -1
1                1000                 400                1886                  -2                  -1
1                1000                 400                1886                  -2                  -1
1                1000                 400                1887               -1.98              -0.995
1                1000                 400                1888                  -2                  -1
1                1000                 400                1888                  -2                  -1
1                1000                 400                1888                  -2                  -1
1                1000                 400                1889               -1.98              -0.995
1                1000                 400                1890               -1.97               -0.99
1                1000                 400                1892               -1.97               -0.99
1                1000                 400                1893               -1.98              -0.995
1                1000                 400                1894                  -2                  -1
1                1000                 400                1894                  -2                  -1
1                1000                 400                1894                  -2                  -1
1                1000                 400                1894                  -2                  -1
1                1000                 400                1894                  -2                  -1
1                1000                 400                1894                  -2                  -1
1                1000                 400                1894                  -2                  -1
1                1000                 400                1894                  -2                  -1
1                1000                 400                1894                  -2                  -1
1                1000                 400                1894                  -2                  -1
1                1000                 400                1894                  -2                  -1
1                1000                 400                1894                  -2                  -1
1                1000                 400                1894                  -2                  -1
1                1000                 400                1894                  -2                  -1
1                1000                 400                1894                  -2                  -1
1                1000                 400                1894                  -2                  -1
1                1000                 400                1894                  -2                  -1
1                1000                 400                1894                  -2                  -1
1                1000                 400                1894                  -2                  -1
1                1000                 400                1894                  -2                  -1
1                1000                 400                1894                  -2                  -1
1                1000                 400                1894                  -2                  -1
1                1000                 400                1896                  -2                  -1
1                1000                 400                1896                  -2                  -1
1                1000                 400                1896                  -2                  -1
1                1000                 400                1896                  -2                  -1
1                1000                 400                1896                  -2                  -1
1                1000                 400                1896                  -2                  -1
1                1000                 400                1896                  -2                  -1
1                1000                 400                1896                  -2                  -1
1                1000                 400                1896                  -2                  -1
1                1000                 400                1896                  -2                  -1
1                1000                 400                1896                  -2                  -1
1                1000                 400                1896                  -2                  -1
1                1000                 400                1896                  -2                  -1
1                1000                 400                1896                  -2                  -1
1                1000                 400                1896                  -2                  -1
1                1000                 400                1896                  -2                  -1
1                1000                 400                1896                  -2                  -1
1                1000                 400                1896                  -2                  -1
1                1000                 400                1896                  -2                  -1
1                1000                 400                1896                  -2                  -1
1                1000                 400                1896                  -2                  -1
1                1000                 400                1896                  -2                  -1
